epoch,train_loss,val_loss,val_kl
1,0.6900513553387159,0.6126174968585634,0.06707984248274251
2,0.5444739473201495,0.5088309138490442,0.03799307133937091
3,0.5037827675605749,0.4799708175031762,0.03301573067642095
4,0.48572446076900927,0.4499862528683847,0.02588093290595632
5,0.47867865512123353,0.4898101284838559,0.04045021903227296
6,0.4661514260423132,0.43400030491644875,0.023537422644726018
7,0.47469914011108927,0.45069434140857895,0.026222028949281627
8,0.44982892894125603,0.4320063559632552,0.02461163532969199
9,0.43943112237112864,0.4204695721467336,0.020613315923694978
10,0.43189656637705764,0.41654181166699056,0.02036088788391728
11,0.4259975701570511,0.8780680654341715,0.19764017875780138
12,0.462452752765639,0.4315801210570754,0.023989988687007052
13,0.42501840079243564,0.42801383399126824,0.028934787893504427
14,0.4173658624355927,0.4388459622859955,0.02896811260858126
15,0.4145452574992077,0.41394230357387607,0.021136840527648467
16,0.4125936473215813,0.40657774868764374,0.018640811211968724
17,0.41083204468865414,0.390096119098496,0.015468253917469267
18,0.4044084285760855,0.40047801952613027,0.017007474967262202
19,0.4054412866309608,0.40345541270155655,0.01943847662850953
20,0.40253103011614316,0.41468925904809384,0.02421377988107372
21,0.40214226152989774,0.41597626711192887,0.020071023405251794
22,0.40991122375577044,0.4095053285883184,0.01924852089008741
23,0.3959591364834732,0.39610479432239865,0.017701036852310625
24,0.3942614878926958,0.3946338233194853,0.01648383943788838
25,0.3935335764250198,0.40099800731006424,0.01877765484938496
26,0.39081345092166553,0.37952509574722826,0.013499815041493429
27,0.39001711545052464,0.38214763423852754,0.01410796249840866
28,0.3912678285465612,0.3937689703807496,0.017531240342609715
29,0.3877880862264922,0.394579492640077,0.017937423710368182
30,0.3868390353340091,0.3858883600485952,0.01419163368675008
