best_val_kl: 0.013499815041493429
class,precision,recall
artificial,0.7783991694450378,0.8583053946495056
cultivated,0.8670330047607422,0.8802355527877808
broadleaf,0.8676003813743591,0.8917264342308044
coniferous,0.8666795492172241,0.7642665505409241
herbaceous,0.819837749004364,0.8005070686340332
natural,0.5684828162193298,0.2152777761220932
snow,0.0,0.0
water,0.8238016963005066,0.956239640712738
